start_second,duration,coverage_count,programs,match_url,transcript
661,4,7,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/661/end/665,"DEALS. WE ALSO, THOUGH NEED TO HAVE A TAX SYSTEM THAT REWARDS WORK AND"
665,1,8,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/665/end/666,"THAT REWARDS WORK AND"
666,1,18,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160927_150000_Happening_Now, FBC_20160927_090000_FBN_AM, FBC_20160927_090000_FBN_AM, CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, CNNW_20160927_090000_New_Day, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FOXNEWSW_20160927_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/666/end/667,"NOT JUST FINANCIAL"
667,1,22,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160927_150000_Happening_Now, FBC_20160927_090000_FBN_AM, FBC_20160927_090000_FBN_AM, CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, CNNW_20160927_090000_New_Day, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FOXNEWSW_20160927_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FBC_20160927_210000_Risk_and_Reward_With_Deidre_Bolton, FBC_20160927_190000_Countdown_to_the_Closing_Bell_With_Liz_Claman, MSNBCW_20160927_100000_Morning_Joe",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/667/end/668,"NOT JUST FINANCIAL"
668,1,23,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160927_150000_Happening_Now, FBC_20160927_090000_FBN_AM, FBC_20160927_090000_FBN_AM, CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, CNNW_20160927_090000_New_Day, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FOXNEWSW_20160927_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FBC_20160927_210000_Risk_and_Reward_With_Deidre_Bolton, FBC_20160927_190000_Countdown_to_the_Closing_Bell_With_Liz_Claman, MSNBCW_20160927_100000_Morning_Joe",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/668/end/669,"TRANSACTIONS. AND THE KIND OF PLAN"
669,1,24,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160927_150000_Happening_Now, FBC_20160927_090000_FBN_AM, FBC_20160927_090000_FBN_AM, CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, CNNW_20160927_090000_New_Day, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FOXNEWSW_20160927_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FBC_20160927_210000_Risk_and_Reward_With_Deidre_Bolton, FBC_20160927_190000_Countdown_to_the_Closing_Bell_With_Liz_Claman, MSNBCW_20160927_100000_Morning_Joe",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/669/end/670,"TRANSACTIONS. AND THE KIND OF PLAN"
670,1,20,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160927_150000_Happening_Now, CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FOXNEWSW_20160927_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FBC_20160927_210000_Risk_and_Reward_With_Deidre_Bolton, FBC_20160927_190000_Countdown_to_the_Closing_Bell_With_Liz_Claman, MSNBCW_20160927_100000_Morning_Joe",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/670/end/671,"THAT DONALD HAS PUT"
671,2,18,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160927_150000_Happening_Now, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FBC_20160927_210000_Risk_and_Reward_With_Deidre_Bolton, FBC_20160927_190000_Countdown_to_the_Closing_Bell_With_Liz_Claman, FOXNEWSW_20160927_160000_Outnumbered",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/671/end/673,"THAT DONALD HAS PUT FORTH WOULD BE"
673,6,17,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FOXNEWSW_20160927_150000_Happening_Now, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FBC_20160927_210000_Risk_and_Reward_With_Deidre_Bolton, FBC_20160927_190000_Countdown_to_the_Closing_Bell_With_Liz_Claman, FOXNEWSW_20160927_160000_Outnumbered",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/673/end/679,"TRICKLE-DOWN ECONOMICS ALL OVER AGAIN, IN FACT IT WOULD BE THE"
679,1,16,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FOXNEWSW_20160927_150000_Happening_Now, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell, BLOOMBERG_20160927_030000_Asia_Edge, BLOOMBERG_20160927_230000_Charlie_Rose, BLOOMBERG_20160927_063000_On_the_Move, FBC_20160927_200000_After_the_Bell, FBC_20160927_210000_Risk_and_Reward_With_Deidre_Bolton, FBC_20160927_190000_Countdown_to_the_Closing_Bell_With_Liz_Claman, FOXNEWSW_20160927_160000_Outnumbered",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/679/end/680,"MOST EXTREME VERSION,"
