start_second,duration,coverage_count,programs,match_url,transcript
954,1,2,"CSPAN_20161020_110000_Washington_Journal, CNNW_20161020_230000_Erin_Burnett_OutFront",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/954/end/955,"WHAT WILL HAPPEN."
955,9,1,CSPAN_20161020_110000_Washington_Journal,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/955/end/964,"WHAT WILL HAPPEN. THAT WILL HAPPEN AUTOMATICALLY IN MY OPINION BECAUSE I AM PUTTING PRO LIFE JUSTICES ON THE COURT. I WILL SAY THIS, IT WILL GO BACK TO THE STATES AND THE STATES"
964,11,2,"CSPAN_20161020_110000_Washington_Journal, MSNBCW_20161020_090000_First_Look",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/964/end/975,"WILL MAKE A DETERMINATION. >> SECRETARY CLINTON? >> I STRONGLY SUPPORT ROE V. WADE WHICH GUARANTEES A CONSTITUTIONAL RIGHT TO A WOMAN TO MAKE THE MOST INTIMATE, MOST"
975,38,1,CSPAN_20161020_110000_Washington_Journal,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/975/end/1013,"DIFFICULT IN MANY CASES DECISIONS ABOUT HER HEALTH CARE THAT ONE CAN IMAGINE. AND IN THIS CASE IT'S NOT ONLY ABOUT ROE V. WADE, IT IS ABOUT WHAT'S HAPPENING RIGHT NOW IN AMERICA. SO MANY STATES ARE PUTTING VERY STRINGENT REGULATIONS ON WOMEN BUT BLOCK THEM FROM EXERCISING THAT CHOICE, TO THE EXTENT THAT THEY ARE DEFUNDING PLANNED PARENTHOOD, WHICH OF COURSE PROVIDES ALL KINDS OF CANCER SCREENINGS AND OTHER BENEFITS FOR WOMEN IN OUR COUNTRY. DONALD HALLS SAID HE'S IN FAVOR OF DEFUNDING PLANNED PARENTHOOD EVEN SUPPORTED SHUTTING THE GOVERNMENT DOWN TO DEFUND"
1013,1,2,"CSPAN_20161020_110000_Washington_Journal, MSNBCW_20161020_130000_MSNBC_Live",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1013/end/1014,"GOVERNMENT DOWN TO DEFUND"
1014,3,6,"CNNW_20161020_023000_Debate_Night_in_America, CSPAN_20161020_110000_Washington_Journal, CNNW_20161020_090000_New_Day, MSNBCW_20161020_130000_MSNBC_Live, FOXNEWSW_20161020_220000_Special_Report_With_Bret_Baier, CNNW_20161020_063000_Debate_Night_in_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1014/end/1017,"PLANNED PARENTHOOD. I WILL DEFEND PLANNED"
1017,2,5,"CNNW_20161020_023000_Debate_Night_in_America, CNNW_20161020_090000_New_Day, MSNBCW_20161020_130000_MSNBC_Live, FOXNEWSW_20161020_220000_Special_Report_With_Bret_Baier, CNNW_20161020_063000_Debate_Night_in_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1017/end/1019,PARENTHOOD.
1019,1,4,"CNNW_20161020_023000_Debate_Night_in_America, CNNW_20161020_090000_New_Day, FOXNEWSW_20161020_220000_Special_Report_With_Bret_Baier, CNNW_20161020_063000_Debate_Night_in_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1019/end/1020,"PARENTHOOD. I WILL DEFEND ROE V. WADE AND"
1020,4,3,"CNNW_20161020_023000_Debate_Night_in_America, CNNW_20161020_090000_New_Day, CNNW_20161020_063000_Debate_Night_in_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1020/end/1024,"I WILL DEFEND ROE V. WADE AND DEFEND WOMEN'S RIGHTS TO MAKE THEIR OWN HEALTHCARE DECISIONS."
1024,10,4,"CNNW_20161020_023000_Debate_Night_in_America, CNNW_20161020_090000_New_Day, MSNBCW_20161020_090000_First_Look, CNNW_20161020_063000_Debate_Night_in_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1024/end/1034,"WE HAVE COME TOO FAR TO HAVE THAT TURNED BACK NOW. INDEED HE SAID WOMEN SHOULD BE PUNISHED, THAT THERE SHOULD BE SOME FORM OF PUNISHMENT FOR"
