start_second,duration,coverage_count,programs,match_url,transcript
1265,10,1,FBC_20161011_000000_Kennedy,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1265/end/1275,"AND HE NEEDS TO TAKE RESPONSIBILITY FOR HIS ACTIONS AND HIS WORDS. >> WELL, YOU OWE THE PRESIDENT AN APOLOGY BECAUSE AS YOU KNOW"
1286,1,1,CNBC_20161010_130000_Squawk_on_the_Street,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1286/end/1287,"MANAGER THEY WERE ON TELEVISION JUST TWO WEEKS AGO, SHE WAS,"
1287,8,2,"CNBC_20161010_130000_Squawk_on_the_Street, CNBC_20161010_100000_Squawk_Box",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1287/end/1295,"JUST TWO WEEKS AGO, SHE WAS, SAYING EXACTLY THAT. SO YOU REALLY OWE HIM AN APOLOGY YOU'RE THE ONE THAT SENT THE PICTURES AROUND YOUR CAMPAIGN,"
1295,1,1,CNBC_20161010_100000_Squawk_Box,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1295/end/1296,"PICTURES AROUND YOUR CAMPAIGN, SENT THE PICTURES AROUND WITH"
1300,11,2,"FOXNEWSW_20161011_000000_The_OReilly_Factor, FOXNEWSW_20161011_030000_The_OReilly_Factor",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1300/end/1311,"INVOLVED. NUMBER TWO, MICHELLE OBAMA. I GOTTEN TO SEE THE COMMERCIALS THAT THEY DID ON YOU. AND I GOTTEN TO SEE SOME OF THE"
1328,1,1,FBC_20161010_160000_Cavuto_Coast_to_Coast,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1328/end/1329,"UNLIKE THE BERNIE SANDERS RACE WHERE YOU WON BUT NOT FAIR AND"
1329,1,3,"FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_080000_Cavuto_Coast_to_Coast, FBC_20161010_160000_Cavuto_Coast_to_Coast",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1329/end/1330,"WHERE YOU WON BUT NOT FAIR AND"
1330,4,4,"FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_030000_Cavuto_Coast_to_Coast, FBC_20161010_080000_Cavuto_Coast_to_Coast, FBC_20161010_160000_Cavuto_Coast_to_Coast",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1330/end/1334,"SQUARE, IN MY OPINION. ALL YOU HAVE TO DO TAKE A LOOK"
1334,2,3,"FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_030000_Cavuto_Coast_to_Coast, FBC_20161010_080000_Cavuto_Coast_to_Coast",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1334/end/1336,"AT WIKILEAKS SEE WHAT THEY SAID"
1336,1,6,"FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_030000_Cavuto_Coast_to_Coast, FBC_20161010_080000_Cavuto_Coast_to_Coast, FBC_20161011_000000_Kennedy, CNNW_20161011_010000_Anderson_Cooper_360, MSNBCW_20161010_230000_Hardball_With_Chris_Matthews",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1336/end/1337,
1337,2,9,"FBC_20161010_100000_Mornings_With_Maria_Bartiromo, CNNW_20161010_210000_Situation_Room_With_Wolf_Blitzer, FBC_20161010_030000_Cavuto_Coast_to_Coast, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FBC_20161010_080000_Cavuto_Coast_to_Coast, FOXNEWSW_20161010_150000_Happening_Now, FBC_20161011_000000_Kennedy, CNNW_20161011_010000_Anderson_Cooper_360, MSNBCW_20161010_230000_Hardball_With_Chris_Matthews",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1337/end/1339,"ABOUT BERNIE SANDERS AND DEBRA WASSERMAN SCHULZ HAD IN MIND"
